normalized,display,value
"131/2","131/૨ ~~","131/૨ ~~ "
"131/3/p","131/૩/p ~~","131/૩/p ~~ "
"131/4/p1","131/૪/p૧ ~~","131/૪/p૧ ~~ "
"131/4/p2","131/૪/p૨ ~~","131/૪/p૨ ~~ "
"131/4/p3","131/૪/p૩ ~~","131/૪/p૩ ~~ "
"132/1","132/૧ ~~","132/૧ ~~ "
"132/2","132/૨ ~~","132/૨ ~~ "
"133/1","133/૧ ~~","133/૧ ~~ "
"133/2","133/૨ ~~","133/૨ ~~ "
"133/3","133/૩ ~~","133/૩ ~~ "
"133/4","133/૪ ~~","133/૪ ~~ "
"134/1/p","134/૧/p ~~","134/૧/p ~~ "
"134/2","134/૨ ~~","134/૨ ~~ "
"134/3","134/૩ ~~","134/૩ ~~ "
"135/1","135/૧ ~~","135/૧ ~~ "
"135/2","135/૨ ~~","135/૨ ~~ "
"136/p","136/p ~~","136/p ~~ "
"137","137 ~~","137 ~~ "
"138","138 ~~","138 ~~ "
"139","139 ~~","139 ~~ "
"140/1","140/૧ ~~","140/૧ ~~ "
"140/2/1","140/૨/૧ ~~","140/૨/૧ ~~ "
"140/2/2","140/૨/૨ ~~","140/૨/૨ ~~ "
"140/3","140/૩ ~~","140/૩ ~~ "
"141/1+2","141/૧+૨ ~~","141/૧+૨ ~~ "
"142/1","142/૧ ~~","142/૧ ~~ "
"142/2","142/૨ ~~","142/૨ ~~ "
"143/1","143/૧ ~~","143/૧ ~~ "
"143/2","143/૨ ~~","143/૨ ~~ "
"143/3/p1","143/૩/p૧ ~~","143/૩/p૧ ~~ "
"143/3/p2","143/૩/p૨ ~~","143/૩/p૨ ~~ "
"144/1","144/૧ ~~","144/૧ ~~ "
"144/2","144/૨ ~~","144/૨ ~~ "
"145/1","145/૧ ~~","145/૧ ~~ "
"145/2/1","145/૨/૧ ~~","145/૨/૧ ~~ "
"145/2/2","145/૨/૨ ~~","145/૨/૨ ~~ "
"145/3","145/૩ ~~","145/૩ ~~ "
"146","146 ~~","146 ~~ "
"147/1","147/૧ ~~","147/૧ ~~ "
"147/2","147/૨ ~~","147/૨ ~~ "
"148/1","148/૧ ~~","148/૧ ~~ "
"148/2","148/૨ ~~","148/૨ ~~ "
