normalized,display,value
"468/3","468/૩ ~~","468/૩ ~~ "
"468/4","468/૪ ~~","468/૪ ~~ "
"469/1","469/૧ ~~","469/૧ ~~ "
"469/2/p","469/૨/p ~~","469/૨/p ~~ "
"470/1","470/૧ ~~","470/૧ ~~ "
"470/2","470/૨ ~~","470/૨ ~~ "
"471","471 ~~","471 ~~ "
"472","472 ~~","472 ~~ "
"473/p","473/p ~~","473/p ~~ "
"474/1","474/૧ ~~","474/૧ ~~ "
"474/2","474/૨ ~~","474/૨ ~~ "
"475/1","475/૧ ~~","475/૧ ~~ "
"475/2/p","475/૨/p ~~","475/૨/p ~~ "
"475/2/p2","475/૨/p૨ ~~","475/૨/p૨ ~~ "
"476/1","476/૧ ~~","476/૧ ~~ "
"476/2","476/૨ ~~","476/૨ ~~ "
"476/3/p","476/૩/p ~~","476/૩/p ~~ "
"477/1","477/૧ ~~","477/૧ ~~ "
"477/2","477/૨ ~~","477/૨ ~~ "
"478","478 ~~","478 ~~ "
"479/1","479/૧ ~~","479/૧ ~~ "
"479/2","479/૨ ~~","479/૨ ~~ "
"480","480 ~~","480 ~~ "
"481","481 ~~","481 ~~ "
"482/1","482/૧ ~~","482/૧ ~~ "
"482/2","482/૨ ~~","482/૨ ~~ "
"482/3","482/૩ ~~","482/૩ ~~ "
"483/p","483/p ~~","483/p ~~ "
"484/1","484/૧ ~~","484/૧ ~~ "
"484/2","484/૨ ~~","484/૨ ~~ "
"485","485 ~~","485 ~~ "
"486","486 ~~","486 ~~ "
"487","487 ~~","487 ~~ "
"488/1","488/૧ ~~","488/૧ ~~ "
"488/2","488/૨ ~~","488/૨ ~~ "
"489/1","489/૧ ~~","489/૧ ~~ "
"489/2","489/૨ ~~","489/૨ ~~ "
"489/3","489/૩ ~~","489/૩ ~~ "
"490/1","490/૧ ~~","490/૧ ~~ "
"490/2","490/૨ ~~","490/૨ ~~ "
"490/3","490/૩ ~~","490/૩ ~~ "
"491/1","491/૧ ~~","491/૧ ~~ "
"491/2","491/૨ ~~","491/૨ ~~ "
"491/3","491/૩ ~~","491/૩ ~~ "
"491/4","491/૪ ~~","491/૪ ~~ "
"491/p","491/પ ~~","491/પ ~~ "
"492","492 ~~","492 ~~ "
"493/1","493/૧ ~~","493/૧ ~~ "
"493/2","493/૨ ~~","493/૨ ~~ "
"493/3/p","493/૩/p ~~","493/૩/p ~~ "
"493/4/p","493/૪/p ~~","493/૪/p ~~ "
"494/1","494/૧ ~~","494/૧ ~~ "
"494/2","494/૨ ~~","494/૨ ~~ "
"495/1/p1","495/૧/p૧ ~~","495/૧/p૧ ~~ "
"495/1/p2","495/૧/p૨ ~~","495/૧/p૨ ~~ "
"495/2/p1","495/૨/p૧ ~~","495/૨/p૧ ~~ "
"495/2/p2","495/૨/p૨ ~~","495/૨/p૨ ~~ "
"495/3/1","495/૩/૧ ~~","495/૩/૧ ~~ "
"495/3/2","495/૩/૨ ~~","495/૩/૨ ~~ "
"495/4/p1","495/૪/p૧ ~~","495/૪/p૧ ~~ "
"495/4/p2","495/૪/p૨ ~~","495/૪/p૨ ~~ "
"495/6","495/૬ ~~","495/૬ ~~ "
"495/7","495/૭ ~~","495/૭ ~~ "
"495/8","495/૮ ~~","495/૮ ~~ "
"495/p/p1","495/પ/p૧ ~~","495/પ/p૧ ~~ "
"495/p/p2","495/પ/p૨ ~~","495/પ/p૨ ~~ "
"496","496 ~~","496 ~~ "
"497/1","497/૧ ~~","497/૧ ~~ "
"497/2","497/૨ ~~","497/૨ ~~ "
"497/3","497/૩ ~~","497/૩ ~~ "
"497/4","497/૪ ~~","497/૪ ~~ "
"498/1+2/p","498/૧+૨/p ~~","498/૧+૨/p ~~ "
"499/1/અ/બ/p","499/૧/અ/બ/p ~~","499/૧/અ/બ/p ~~ "
"499/2અ","499/૨અ ~~","499/૨અ ~~ "
"499/2બ","499/૨બ ~~","499/૨બ ~~ "
"500","500 ~~","500 ~~ "
"501/1","501/૧ ~~","501/૧ ~~ "
"501/2","501/૨ ~~","501/૨ ~~ "
"502/p","502/p ~~","502/p ~~ "
"503/1","503/૧ ~~","503/૧ ~~ "
"503/2","503/૨ ~~","503/૨ ~~ "
"504/1","504/૧ ~~","504/૧ ~~ "
"504/2","504/૨ ~~","504/૨ ~~ "
"505","505 ~~","505 ~~ "
"506/1","506/૧ ~~","506/૧ ~~ "
"506/2","506/૨ ~~","506/૨ ~~ "
"507","507 ~~","507 ~~ "
"508","508 ~~","508 ~~ "
"509/1","509/૧ ~~","509/૧ ~~ "
"509/2","509/૨ ~~","509/૨ ~~ "
"509/3","509/૩ ~~","509/૩ ~~ "
"509/4","509/૪ ~~","509/૪ ~~ "
"509/6/અ","509/૬/અ ~~","509/૬/અ ~~ "
"509/6બ","509/૬બ ~~","509/૬બ ~~ "
"509/7+8/p2","509/૭+૮/p૨ ~~","509/૭+૮/p૨ ~~ "
"509/7+8/p3","509/૭+૮/p૩ ~~","509/૭+૮/p૩ ~~ "
"509/7+8p1","509/૭+૮p૧ ~~","509/૭+૮p૧ ~~ "
"509/p","509/પ ~~","509/પ ~~ "
"510/1/p","510/૧/p ~~","510/૧/p ~~ "
"510/2/p","510/૨/p ~~","510/૨/p ~~ "
"511/1","511/૧ ~~","511/૧ ~~ "
"511/2","511/૨ ~~","511/૨ ~~ "
"511/3","511/૩ ~~","511/૩ ~~ "
"512","512 ~~","512 ~~ "
"513","513 ~~","513 ~~ "
"514/1/p","514/૧/p ~~","514/૧/p ~~ "
"514/2","514/૨ ~~","514/૨ ~~ "
"515","515 ~~","515 ~~ "
"516","516 ~~","516 ~~ "
"517","517 ~~","517 ~~ "
"518","518 ~~","518 ~~ "
"519","519 ~~","519 ~~ "
"520","520 ~~","520 ~~ "
"521/1/1","521/૧/૧ ~~","521/૧/૧ ~~ "
"521/1/2","521/૧/૨ ~~","521/૧/૨ ~~ "
"521/2","521/૨ ~~","521/૨ ~~ "
"522/1","522/૧ ~~","522/૧ ~~ "
"522/2","522/૨ ~~","522/૨ ~~ "
"523/p1","523/p૧ ~~","523/p૧ ~~ "
"523/p2","523/p૨ ~~","523/p૨ ~~ "
"524","524 ~~","524 ~~ "
"525","525 ~~","525 ~~ "
"526/1","526/૧ ~~","526/૧ ~~ "
"526/2","526/૨ ~~","526/૨ ~~ "
"527","527 ~~","527 ~~ "
"528","528 ~~","528 ~~ "
"529/1","529/૧ ~~","529/૧ ~~ "
"529/2","529/૨ ~~","529/૨ ~~ "
"529/3/1","529/૩/૧ ~~","529/૩/૧ ~~ "
"529/3/2","529/૩/૨ ~~","529/૩/૨ ~~ "
"529/4","529/૪ ~~","529/૪ ~~ "
"529/6","529/૬ ~~","529/૬ ~~ "
"529/7","529/૭ ~~","529/૭ ~~ "
"529/p","529/પ ~~","529/પ ~~ "
"530","530 ~~","530 ~~ "
"531/p1/p","531/p૧/p ~~","531/p૧/p ~~ "
"531/p2","531/p૨ ~~","531/p૨ ~~ "
"532/1","532/૧ ~~","532/૧ ~~ "
"532/2/અ/p2","532/૨/અ/p૨ ~~","532/૨/અ/p૨ ~~ "
"532/2/બ","532/૨/બ ~~","532/૨/બ ~~ "
"533","533 ~~","533 ~~ "
"534/p","534/p ~~","534/p ~~ "
"535/1","535/૧ ~~","535/૧ ~~ "
"535/2","535/૨ ~~","535/૨ ~~ "
"536","536 ~~","536 ~~ "
"537","537 ~~","537 ~~ "
"538/1","538/૧ ~~","538/૧ ~~ "
"538/2","538/૨ ~~","538/૨ ~~ "
"539/1","539/૧ ~~","539/૧ ~~ "
"539/2","539/૨ ~~","539/૨ ~~ "
"540/1/p","540/૧/p ~~","540/૧/p ~~ "
"540/2","540/૨ ~~","540/૨ ~~ "
"541","541 ~~","541 ~~ "
"542/1/p","542/૧/p ~~","542/૧/p ~~ "
"542/2","542/૨ ~~","542/૨ ~~ "
"542/3","542/૩ ~~","542/૩ ~~ "
"542/4/p","542/૪/p ~~","542/૪/p ~~ "
"543","543 ~~","543 ~~ "
"544/p2","544/p૨ ~~","544/p૨ ~~ "
"544p/1","544p/૧ ~~","544p/૧ ~~ "
"545/p","545/p ~~","545/p ~~ "
"546","546 ~~","546 ~~ "
"547/p","547/p ~~","547/p ~~ "
"548/1/p","548/૧/p ~~","548/૧/p ~~ "
"548/2/p","548/૨/p ~~","548/૨/p ~~ "
"549/1/અ","549/૧/અ ~~","549/૧/અ ~~ "
"549/1/ક","549/૧/ક ~~","549/૧/ક ~~ "
"549/1/બ","549/૧/બ ~~","549/૧/બ ~~ "
"549/2/અબ","549/૨/અબ ~~","549/૨/અબ ~~ "
"549/3/અ","549/૩/અ ~~","549/૩/અ ~~ "
"549/3/બ","549/૩/બ ~~","549/૩/બ ~~ "
"549/4","549/૪ ~~","549/૪ ~~ "
"550/p","550/p ~~","550/p ~~ "
"551/1+2+3","551/૧+૨+૩ ~~","551/૧+૨+૩ ~~ "
"552/1","552/૧ ~~","552/૧ ~~ "
"552/2","552/૨ ~~","552/૨ ~~ "
"552/3","552/૩ ~~","552/૩ ~~ "
"552/4","552/૪ ~~","552/૪ ~~ "
"552/p","552/પ ~~","552/પ ~~ "
"553/1","553/૧ ~~","553/૧ ~~ "
"553/2","553/૨ ~~","553/૨ ~~ "
"553/3","553/૩ ~~","553/૩ ~~ "
"553/4","553/૪ ~~","553/૪ ~~ "
"553/6","553/૬ ~~","553/૬ ~~ "
"553/p","553/પ ~~","553/પ ~~ "
"554/p1","554/p૧ ~~","554/p૧ ~~ "
"554/p2/p","554/p૨/p ~~","554/p૨/p ~~ "
"554/p2/p+532/2/અ/p3+562/2","554/p2/p+532/2/અ/p3+562/2 ~~","554/p2/p+532/2/અ/p3+562/2 ~~ "
"555","555 ~~","555 ~~ "
"556","556 ~~","556 ~~ "
"557/1","557/૧ ~~","557/૧ ~~ "
"557/2","557/૨ ~~","557/૨ ~~ "
"558","558 ~~","558 ~~ "
"559/1","559/૧ ~~","559/૧ ~~ "
"559/2","559/૨ ~~","559/૨ ~~ "
"560","560 ~~","560 ~~ "
"561","561 ~~","561 ~~ "
"562/1/અ","562/૧/અ ~~","562/૧/અ ~~ "
"562/1ક","562/૧ક ~~","562/૧ક ~~ "
"562/1બ","562/૧બ ~~","562/૧બ ~~ "
"563","563 ~~","563 ~~ "
"564","564 ~~","564 ~~ "
"565/1અ","565/૧અ ~~","565/૧અ ~~ "
"565/2","565/૨ ~~","565/૨ ~~ "
"565/3/અ","565/૩/અ ~~","565/૩/અ ~~ "
"565/3/બ","565/૩/બ ~~","565/૩/બ ~~ "
"566/1","566/૧ ~~","566/૧ ~~ "
"566/2/p","566/૨/p ~~","566/૨/p ~~ "
"566/3","566/૩ ~~","566/૩ ~~ "
"566/4/p","566/૪/p ~~","566/૪/p ~~ "
"567/1/p","567/૧/p ~~","567/૧/p ~~ "
"567/2","567/૨ ~~","567/૨ ~~ "
"567/3","567/૩ ~~","567/૩ ~~ "
"568","568 ~~","568 ~~ "
"569/1","569/૧ ~~","569/૧ ~~ "
"569/2","569/૨ ~~","569/૨ ~~ "
"569/3","569/૩ ~~","569/૩ ~~ "
"570/1","570/૧ ~~","570/૧ ~~ "
"570/2","570/૨ ~~","570/૨ ~~ "
"571/1","571/૧ ~~","571/૧ ~~ "
"571/2","571/૨ ~~","571/૨ ~~ "
"572/1/p","572/૧/p ~~","572/૧/p ~~ "
"572/2","572/૨ ~~","572/૨ ~~ "
"573","573 ~~","573 ~~ "
"574","574 ~~","574 ~~ "
"575/1/p","575/૧/p ~~","575/૧/p ~~ "
"575/2","575/૨ ~~","575/૨ ~~ "
"576/1","576/૧ ~~","576/૧ ~~ "
"576/2/p","576/૨/p ~~","576/૨/p ~~ "
"576/3","576/૩ ~~","576/૩ ~~ "
"577/1","577/૧ ~~","577/૧ ~~ "
"577/2","577/૨ ~~","577/૨ ~~ "
"577/3","577/૩ ~~","577/૩ ~~ "
"578/p","578/p ~~","578/p ~~ "
"579/1","579/૧ ~~","579/૧ ~~ "
"579/2","579/૨ ~~","579/૨ ~~ "
"579/3","579/૩ ~~","579/૩ ~~ "
"580","580 ~~","580 ~~ "
"581/1","581/૧ ~~","581/૧ ~~ "
"581/2","581/૨ ~~","581/૨ ~~ "
"581/3","581/૩ ~~","581/૩ ~~ "
"582/p1","582/p૧ ~~","582/p૧ ~~ "
"582/p2","582/p૨ ~~","582/p૨ ~~ "
"583/1","583/૧ ~~","583/૧ ~~ "
"583/2","583/૨ ~~","583/૨ ~~ "
"583/3","583/૩ ~~","583/૩ ~~ "
"583/4","583/૪ ~~","583/૪ ~~ "
"584/1","584/૧ ~~","584/૧ ~~ "
"584/2","584/૨ ~~","584/૨ ~~ "
"585/1","585/૧ ~~","585/૧ ~~ "
"585/2","585/૨ ~~","585/૨ ~~ "
"585/3","585/૩ ~~","585/૩ ~~ "
"585/4","585/૪ ~~","585/૪ ~~ "
"586/1","586/૧ ~~","586/૧ ~~ "
"586/2","586/૨ ~~","586/૨ ~~ "
"587/1","587/૧ ~~","587/૧ ~~ "
"587/2","587/૨ ~~","587/૨ ~~ "
"588/1+2/p1","588/૧+૨/p૧ ~~","588/૧+૨/p૧ ~~ "
"588/1+2/p2","588/૧+૨/p૨ ~~","588/૧+૨/p૨ ~~ "
"589/p","589/p ~~","589/p ~~ "
"590/1","590/૧ ~~","590/૧ ~~ "
"590/2","590/૨ ~~","590/૨ ~~ "
"591/1+2/p","591/૧+૨/p ~~","591/૧+૨/p ~~ "
"592","592 ~~","592 ~~ "
"593/1","593/૧ ~~","593/૧ ~~ "
"593/2","593/૨ ~~","593/૨ ~~ "
"593/3","593/૩ ~~","593/૩ ~~ "
"594/p","594/p ~~","594/p ~~ "
"595/1","595/૧ ~~","595/૧ ~~ "
"595/2","595/૨ ~~","595/૨ ~~ "
"595/3","595/૩ ~~","595/૩ ~~ "
"596/p","596/p ~~","596/p ~~ "
"597","597 ~~","597 ~~ "
"598/p","598/p ~~","598/p ~~ "
"599/1","599/૧ ~~","599/૧ ~~ "
"599/2/1","599/૨/૧ ~~","599/૨/૧ ~~ "
"599/2/2","599/૨/૨ ~~","599/૨/૨ ~~ "
"599/3/p","599/૩/p ~~","599/૩/p ~~ "
"600","600 ~~","600 ~~ "
"601","601 ~~","601 ~~ "
"602","602 ~~","602 ~~ "
"603/1","603/૧ ~~","603/૧ ~~ "
"603/2","603/૨ ~~","603/૨ ~~ "
"604/1","604/૧ ~~","604/૧ ~~ "
"604/2","604/૨ ~~","604/૨ ~~ "
"604/3","604/૩ ~~","604/૩ ~~ "
"605/1","605/૧ ~~","605/૧ ~~ "
"605/2","605/૨ ~~","605/૨ ~~ "
"606/p","606/p ~~","606/p ~~ "
"607/1","607/૧ ~~","607/૧ ~~ "
"607/2","607/૨ ~~","607/૨ ~~ "
"608","608 ~~","608 ~~ "
"609","609 ~~","609 ~~ "
"610/1","610/૧ ~~","610/૧ ~~ "
"610/2","610/૨ ~~","610/૨ ~~ "
"611/1/1","611/૧/૧ ~~","611/૧/૧ ~~ "
"611/1/2","611/૧/૨ ~~","611/૧/૨ ~~ "
"611/2","611/૨ ~~","611/૨ ~~ "
"611/3","611/૩ ~~","611/૩ ~~ "
"611/4","611/૪ ~~","611/૪ ~~ "
"611/6","611/૬ ~~","611/૬ ~~ "
"611/p/1","611/પ/૧ ~~","611/પ/૧ ~~ "
"611/p/2","611/પ/૨ ~~","611/પ/૨ ~~ "
"612","612 ~~","612 ~~ "
"613/p","613/p ~~","613/p ~~ "
"614/p","614/p ~~","614/p ~~ "
"615","615 ~~","615 ~~ "
"616","616 ~~","616 ~~ "
"617/6/7/12/13/p","617/૬/૭/૧૨/૧૩/p ~~","617/૬/૭/૧૨/૧૩/p ~~ "
"617/p","617/p ~~","617/p ~~ "
"618/1","618/૧ ~~","618/૧ ~~ "
"618/2","618/૨ ~~","618/૨ ~~ "
"619/1","619/૧ ~~","619/૧ ~~ "
"619/2","619/૨ ~~","619/૨ ~~ "
"620/1","620/૧ ~~","620/૧ ~~ "
"620/2","620/૨ ~~","620/૨ ~~ "
"620/3","620/૩ ~~","620/૩ ~~ "
"621","621 ~~","621 ~~ "
"622/1","622/૧ ~~","622/૧ ~~ "
"622/2","622/૨ ~~","622/૨ ~~ "
"622/3","622/૩ ~~","622/૩ ~~ "
"622/4","622/૪ ~~","622/૪ ~~ "
"623/1","623/૧ ~~","623/૧ ~~ "
"623/2","623/૨ ~~","623/૨ ~~ "
"623/3","623/૩ ~~","623/૩ ~~ "
"623/4","623/૪ ~~","623/૪ ~~ "
"624","624 ~~","624 ~~ "
"625","625 ~~","625 ~~ "
"626","626 ~~","626 ~~ "
"627","627 ~~","627 ~~ "
"628/p","628/p ~~","628/p ~~ "
"629","629 ~~","629 ~~ "
"630/p","630/p ~~","630/p ~~ "
"631","631 ~~","631 ~~ "
"632/1/અ","632/૧/અ ~~","632/૧/અ ~~ "
"632/1/બ","632/૧/બ ~~","632/૧/બ ~~ "
"632/2/p","632/૨/p ~~","632/૨/p ~~ "
"633","633 ~~","633 ~~ "
"634","634 ~~","634 ~~ "
"635","635 ~~","635 ~~ "
"636","636 ~~","636 ~~ "
"637/p","637/p ~~","637/p ~~ "
"638","638 ~~","638 ~~ "
"639/p","639/p ~~","639/p ~~ "
"640/p","640/p ~~","640/p ~~ "
"641/1","641/૧ ~~","641/૧ ~~ "
"641/2","641/૨ ~~","641/૨ ~~ "
"641/3","641/૩ ~~","641/૩ ~~ "
"642/1","642/૧ ~~","642/૧ ~~ "
"642/2","642/૨ ~~","642/૨ ~~ "
"642/3","642/૩ ~~","642/૩ ~~ "
"643","643 ~~","643 ~~ "
"644/p1/p","644/p૧/p ~~","644/p૧/p ~~ "
"645","645 ~~","645 ~~ "
"646/p","646/p ~~","646/p ~~ "
"647/p","647/p ~~","647/p ~~ "
"648/1/p","648/૧/p ~~","648/૧/p ~~ "
"648/2","648/૨ ~~","648/૨ ~~ "
"648/3","648/૩ ~~","648/૩ ~~ "
"649","649 ~~","649 ~~ "
"650","650 ~~","650 ~~ "
"651","651 ~~","651 ~~ "
"652/p","652/p ~~","652/p ~~ "
"653","653 ~~","653 ~~ "
"654/p","654/p ~~","654/p ~~ "
"655","655 ~~","655 ~~ "
"656/1/p","656/૧/p ~~","656/૧/p ~~ "
"656/2","656/૨ ~~","656/૨ ~~ "
"657","657 ~~","657 ~~ "
"658","658 ~~","658 ~~ "
"659","659 ~~","659 ~~ "
"660/1","660/૧ ~~","660/૧ ~~ "
"660/2","660/૨ ~~","660/૨ ~~ "
"661/1+3","661/૧+૩ ~~","661/૧+૩ ~~ "
"661/2","661/૨ ~~","661/૨ ~~ "
"661/4","661/૪ ~~","661/૪ ~~ "
"661/6","661/૬ ~~","661/૬ ~~ "
"661/7","661/૭ ~~","661/૭ ~~ "
"661/p","661/પ ~~","661/પ ~~ "
"662","662 ~~","662 ~~ "
"663","663 ~~","663 ~~ "
"664","664 ~~","664 ~~ "
"665","665 ~~","665 ~~ "
"666/1","666/૧ ~~","666/૧ ~~ "
"666/2","666/૨ ~~","666/૨ ~~ "
"667","667 ~~","667 ~~ "
"668","668 ~~","668 ~~ "
"669","669 ~~","669 ~~ "
"670","670 ~~","670 ~~ "
"671","671 ~~","671 ~~ "
"672","672 ~~","672 ~~ "
"673","673 ~~","673 ~~ "
"674","674 ~~","674 ~~ "
"675/p","675/p ~~","675/p ~~ "
"676","676 ~~","676 ~~ "
"677/1/p1","677/૧/p૧ ~~","677/૧/p૧ ~~ "
"677/1/p2","677/૧/p૨ ~~","677/૧/p૨ ~~ "
"677/1/p3","677/૧/p૩ ~~","677/૧/p૩ ~~ "
"677/2","677/૨ ~~","677/૨ ~~ "
"678","678 ~~","678 ~~ "
"679/p","679/p ~~","679/p ~~ "
"680","680 ~~","680 ~~ "
"681/p","681/p ~~","681/p ~~ "
"682/p","682/p ~~","682/p ~~ "
"683/1","683/૧ ~~","683/૧ ~~ "
"683/2","683/૨ ~~","683/૨ ~~ "
"683/3","683/૩ ~~","683/૩ ~~ "
"684","684 ~~","684 ~~ "
"685/1","685/૧ ~~","685/૧ ~~ "
"685/2","685/૨ ~~","685/૨ ~~ "
"685/3","685/૩ ~~","685/૩ ~~ "
"686/1","686/૧ ~~","686/૧ ~~ "
"686/2","686/૨ ~~","686/૨ ~~ "
"687/1/1","687/૧/૧ ~~","687/૧/૧ ~~ "
"687/1/2","687/૧/૨ ~~","687/૧/૨ ~~ "
"687/2","687/૨ ~~","687/૨ ~~ "
"688/p","688/p ~~","688/p ~~ "
"689/1","689/૧ ~~","689/૧ ~~ "
"689/2","689/૨ ~~","689/૨ ~~ "
"689/3","689/૩ ~~","689/૩ ~~ "
"689/4","689/૪ ~~","689/૪ ~~ "
"690/p","690/p ~~","690/p ~~ "
"691/1","691/૧ ~~","691/૧ ~~ "
"691/2/p","691/૨/p ~~","691/૨/p ~~ "
"692/1","692/૧ ~~","692/૧ ~~ "
"692/2","692/૨ ~~","692/૨ ~~ "
"692/3","692/૩ ~~","692/૩ ~~ "
"693","693 ~~","693 ~~ "
"694/1","694/૧ ~~","694/૧ ~~ "
"694/2+694/3p","694/૨+૬૯૪/૩p ~~","694/૨+૬૯૪/૩p ~~ "
"694/3/p2","694/૩/p૨ ~~","694/૩/p૨ ~~ "
"694/4/p1","694/૪/p૧ ~~","694/૪/p૧ ~~ "
"694/4/p2","694/૪/p૨ ~~","694/૪/p૨ ~~ "
"695/p","695/p ~~","695/p ~~ "
"696","696 ~~","696 ~~ "
"697/1","697/૧ ~~","697/૧ ~~ "
"697/2","697/૨ ~~","697/૨ ~~ "
"697/3","697/૩ ~~","697/૩ ~~ "
"697/4","697/૪ ~~","697/૪ ~~ "
"698/1","698/૧ ~~","698/૧ ~~ "
"698/2","698/૨ ~~","698/૨ ~~ "
"699/1","699/૧ ~~","699/૧ ~~ "
"699/2","699/૨ ~~","699/૨ ~~ "
"700/1","700/૧ ~~","700/૧ ~~ "
"700/2","700/૨ ~~","700/૨ ~~ "
"701/1","701/૧ ~~","701/૧ ~~ "
"701/2","701/૨ ~~","701/૨ ~~ "
"702","702 ~~","702 ~~ "
